name,number_votes,share_votes,district,affiliation
Csárdi Antal,23345,48.73 %,Budapest V. kerület,LMP
Váradiné Naszályi Márta,0,0.0 %,Budapest V. kerület,MSZP-PÁRBESZÉD
Hollik István,20031,41.81 %,Budapest V. kerület,FIDESZ-KDNP
Fekete-Győr András,0,0.0 %,Budapest V. kerület,MOMENTUM
Horváth András,1474,3.08 %,Budapest V. kerület,MKKP
Losonczy Pál,3060,6.39 %,Budapest V. kerület,JOBBIK
Juhász Péter,0,0.0 %,Budapest V. kerület,EGYÜTT
Molnár Mikeás,87,0.16 %,Budapest XVI. kerület,LENDÜLETTEL
Vajda Zoltán,22245,39.96 %,Budapest XVI. kerület,EGYÜTT
Nemes Gábor,0,0.0 %,Budapest XVI. kerület,DK
Derecskei Anita,187,0.34 %,Budapest XVI. kerület,KÖZÖS NEVEZŐ
Tánczos Tamás,52,0.09 %,Budapest XVI. kerület,NEMZET ÉS BÉKE
Tokody Marcell Gergely,5086,9.14 %,Budapest XVI. kerület,JOBBIK
Hollai Gábor,0,0.0 %,Budapest XVI. kerület,MOMENTUM
Koch János,311,0.56 %,Budapest XVI. kerület,MUNKÁSPÁRT
Schiller Katalin,52,0.09 %,Budapest XVI. kerület,IRÁNYTŰ
Szántai Péter,64,0.11 %,Budapest XVI. kerület,REND PÁRT
Mizsei László,4048,7.27 %,Budapest XVI. kerület,LMP
Tóthné Farkas Anita,137,0.25 %,Budapest XVI. kerület,MIÉP
Csomor Judit,70,0.13 %,Budapest XVI. kerület,NP
Szatmáry Kristóf,23328,41.91 %,Budapest XVI. kerület,FIDESZ-KDNP
Tóth Endre,1608,2.78 %,Budapest XVII. kerület,MOMENTUM
Dunai Mónika,23784,41.17 %,Budapest XVII. kerület,FIDESZ-KDNP
Genetheim Barbara Éva,119,0.21 %,Budapest XVII. kerület,NEMZET ÉS BÉKE
Szilágyi György,7536,13.04 %,Budapest XVII. kerület,JOBBIK
Fléger István Tamás,253,0.44 %,Budapest XVII. kerület,MUNKÁSPÁRT
Lukoczki Károly,21512,37.23 %,Budapest XVII. kerület,MSZP-PÁRBESZÉD
Kelemenné Jancsó Mónika,137,0.24 %,Budapest XVII. kerület,REND PÁRT
Schmuck Erzsébet,2826,4.89 %,Budapest XVII. kerület,LMP
Radics Tibor,0,0.0 %,Budapest XVII. kerület,KÖZÖS NEVEZŐ
Mihály László,231,0.42 %,Budapest XV. kerület,MUNKÁSPÁRT
Majoros István,37,0.07 %,Budapest XV. kerület,REND PÁRT
Honti Richárd,65,0.12 %,Budapest XV. kerület,KÖZÖS NEVEZŐ
Pálmai Attila,1048,1.91 %,Budapest XV. kerület,MKKP
László Tamás,20622,37.54 %,Budapest XV. kerület,FIDESZ-KDNP
Parragh Lajos,72,0.13 %,Budapest XV. kerület,KÖSSZ
Huzsvári Erzsébet Mária,0,0.0 %,Budapest XV. kerület,EGYÜTT
Móricz Eszter,388,0.71 %,Budapest XV. kerület,LENDÜLETTEL
Szilvágyi László,2540,4.62 %,Budapest XV. kerület,LMP
Krisztics Bianka Ilona,1082,1.97 %,Budapest XV. kerület,MOMENTUM
Dr. Gyenes Géza,5640,10.27 %,Budapest XV. kerület,JOBBIK
